NUM_ENREG,NOM_COMMERCIAL,NOM_DCI,DOSAGE,UNITE,CONDITIONNEMENT,CONVENTION,REMBOURSABLE,D_REMBOURSEMENT,D_ARRET_REMB,D_DECISION,TARIF,TAUX,FORME,TAB,HOP,SS,OFF,PAYS,LABO,OBS,CM,CODE_DCI,CODEMEDIC,D_TARIF,MAJORATION_TARIF,TYPE,PRESCRIPTEUR,DATE_INSERTION,DATE_MAJ
254,TEMGESIC,BUPRENORPHINE,"0,3",MG/ML,B/10,,O,,,,0.0,,96.0,,O,O,O,,,,,03F013,02703F01397,,,P,,4/27/2023,4/22/2024
255,TEMGESIC,BUPRENORPHINE,"0,2",MG,B/20,,O,,,,0.0,,14.0,,O,O,,,,,,03F029,02703F02998,,,P,,4/27/2023,4/22/2024
1119,DAIVONEX,CALCIPOTRIOL,50¿G/G,¿G/G,T/30 G,,O,,,,982.8,,40.0,,O,O,O,,,,,07L099,08307L09998,6/18/2023,,P,,4/27/2023,4/22/2024
717,CAPOTAL,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,,,,,06E052,11906E05299,10/2/2008,,G,,10/2/2008,4/22/2024
708,LOPRIL,CAPTOPRIL,25MG,MG,BTE/30,O,O,,,,148.8,,152.0,,O,O,O,213,,,,06E052,28506E05216,10/2/2008,,P,,10/2/2008,4/22/2024
710,CAPOCARD,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,,,,,06E052,05506E05298,10/2/2008,,G,,10/2/2008,4/22/2024
715,CAPTOPRIL,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,,,,,06E052,10906E05299,10/2/2008,O,G,,10/2/2008,4/22/2024
716,HYPOTENSOR,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,,,,,06E052,11106E05299,10/2/2008,,G,,10/2/2008,4/22/2024
711,TENSIOPRIL,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,213,,,,06E052,07906E05299,10/2/2008,,G,,10/2/2008,4/22/2024
719,CAPTOPRIL NORMON,CAPTOPRIL,25MG,MG,B/30,O,O,,,,148.8,,14.0,,O,O,O,,,,,06E052,15406E05299,10/2/2008,,G,,10/2/2008,4/22/2024
718,FARCOPRIL,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,,,,,06E052,13706E05299,10/2/2008,,G,,10/2/2008,4/22/2024
714,TENSOPREL,CAPTOPRIL,25MG,MG,B/60,O,O,,,,297.6,,14.0,,O,O,O,213,,,,06E052,10706E05298,10/2/2008,O,G,,10/2/2008,4/22/2024
720,MINITEN,CAPTOPRIL,25MG,MG,B/20,O,O,,,,99.2,,14.0,,O,O,O,,,,,06E052,17406E05298,10/2/2008,,G,,10/2/2008,4/22/2024
712,WERACAPRIL,CAPTOPRIL,25MG,MG,B/30,O,O,,,,148.8,,14.0,,O,O,O,,,,,06E052,09006E05298,10/2/2008,,G,,10/2/2008,4/22/2024
737,CAPOTAL,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,,,,,06E053,11906E05399,10/2/2008,,G,,10/2/2008,4/22/2024
729,LOPRIL,CAPTOPRIL,50MG,MG,B/30,O,O,,,,285.0,,14.0,,O,O,O,,,,,06E053,01706E05397,10/2/2008,,P,,10/2/2008,4/22/2024
731,CAPOCARD,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,,,,,06E053,05506E05398,10/2/2008,,G,,10/2/2008,4/22/2024
736,HYPOTENSOR,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,,,,,06E053,11106E05399,10/2/2008,,G,,10/2/2008,4/22/2024
732,TENSIOPRIL,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,213,,,,06E053,07906E05398,10/2/2008,,G,,10/2/2008,4/22/2024
741,RILCAPTON,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,,,,,06E053,17806E05399,10/2/2008,,G,,10/2/2008,4/22/2024
739,CAPTOPRIL NORMON,CAPTOPRIL,50MG,MG,B/30,O,O,,,,285.0,,14.0,,O,O,O,,,,,06E053,15406E05399,10/2/2008,O,G,,10/2/2008,4/22/2024
735,TENSOPREL,CAPTOPRIL,50MG,MG,B/30,O,O,,,,285.0,,14.0,,O,O,O,213,,,,06E053,10706E05398,10/2/2008,O,G,,10/2/2008,4/22/2024
730,CAPTOPRAL 50,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,,,,,06E053,03906E05398,10/2/2008,,G,,10/2/2008,4/22/2024
740,MINITEN,CAPTOPRIL,50MG,MG,B/20,O,O,,,,190.0,,14.0,,O,O,O,,,,,06E053,17406E05398,10/2/2008,,G,,10/2/2008,4/22/2024
733,WERACAPRIL,CAPTOPRIL,50MG,MG,B/30,O,O,,,,285.0,,14.0,,O,O,O,,,,,06E053,09006E05398,10/2/2008,,G,,10/2/2008,4/22/2024
1126,HIBITANE,CHLORHEXIDINE,5,%,FL/125 ML,,O,,,,0.0,,69.0,,O,O,O,,,,,07P067,17107P06799,,,P,,4/27/2023,4/22/2024
1008,CLOMYCINE,CHLORTETRACYCLINE,3%,%,T/15 G,,O,,6/2/2008,,0.0,,41.0,,O,O,O,213,,,,07C015,00307C01599,,,G,,6/2/2008,4/22/2024
517,ALPHA CHYMOTRYPSINE,CHYMOTRYPSINE,5,MG,B/5+5 AMP,,N,,11/21/2006,,0.0,,51.0,,O,O,O,,,,,04C025,05104C02597,,,P,,11/21/2006,4/22/2024
949,LIPANOR,CIPROFIBRATE,100,MG,B/30,,O,,,,0.0,,27.0,,O,O,O,,,,,06M133,05206M13398,,,P,,4/27/2023,4/22/2024
746,CATAPRESSAN,CLONIDINE,"0,15",MG/ML,B/30,,O,,,,0.0,,71.0,,O,O,O,,,,,06E055,15206E05598,,,P,,4/27/2023,4/22/2024
748,BARCLYD,CLONIDINE,"0,15",MG,B/30,,O,,,,0.0,,14.0,,O,O,O,,,,,06E056,09406E05699,,,G,,4/27/2023,4/22/2024
749,CATAPRESSAN,CLONIDINE,"0,15",MG,B/20,,O,,,,0.0,,14.0,,O,O,O,,,,,06E056,15206E05698,,,P,,4/27/2023,4/22/2024
747,CRONIDINE,CLONIDINE (SOUS FORME DE CHLORHYDRATE),"0,15",MG,B/20,,O,,,,0.0,,14.0,,O,O,O,,,,,06E056,01206E05698,,,G,,4/27/2023,4/22/2024
1030,CANESTEN,CLOTRIMAZOLE,1,%,T/30 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07D024,12407D02498,,,P,,4/27/2023,4/22/2024
862,CEDILANIDE,DESLANOSIDE,"0,4MG/2ML(0,2MG/ML)",MG/ML,B/5 AMP,,O,,,,0.0,,71.0,,O,O,O,,,,,06G077,00706G07797,,,,,4/27/2023,4/22/2024
1096,LOCAPRED,DESONIDE,100,MG/100G,T/15 G,,O,,,,0.0,,20.0,,O,O,O,,,,,07H042,09907H04298,,,P,,4/27/2023,4/22/2024
1097,DESACROVIS,DEXAMETHASONE,50,MG,T/30 G,,O,,,,0.0,,41.0,,,,O,,,,,07H043,01207H04398,,,G,,4/27/2023,4/22/2024
17,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,5,MG/ML,B/5 AMP de 1ML,,N,,11/22/2009,,0.0,,71.0,,O,O,O,,,,,01A004,02701A00497,,,P,,11/22/2009,4/22/2024
21,CLARAMINE,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/30,,O,,,,60.0,,14.0,,O,O,O,,,,,01A005,07401A00599,1/29/2018,,G,10,1/29/2018,4/22/2024
19,HISTAGAN,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/20,,O,,,,40.0,,14.0,,O,O,O,213,,,,01A005,00301A00598,1/29/2018,,G,10,1/29/2018,4/22/2024
20,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/30,,O,,,,60.0,,14.0,,O,O,O,,,,,01A005,02701A00597,1/29/2018,,P,10,1/29/2018,4/22/2024
22,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,6,MG,B/30,,O,,6/12/2014,,146.7,,143.0,,O,O,O,,,,,01A006,02701A00697,3/13/2010,,P,10,6/12/2014,4/22/2024
25,DEXCHLORPHENIRAMINE,DEXCHLORPHENIRAMINE MALEATE,"0,5",MG/5ML,FL/125 ML,,O,,,,125.0,,56.0,,O,O,O,213,,,,01A007,04801A00797,3/13/2010,,G,10,3/13/2010,4/22/2024
23,HISTAGAN,DEXCHLORPHENIRAMINE MALEATE,"0,5MG/5ML",,FL/125 ML,,O,,,,125.0,,56.0,,O,O,O,213,,,,01A007,00301A00798,3/13/2010,,G,10,3/13/2010,4/22/2024
24,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,"0,5",MG/5ML,FL/125 ML,,O,,,,125.0,,56.0,,O,O,O,,,,,01A007,02701A00798,3/13/2010,,P,10,3/13/2010,4/22/2024
244,DEXTROPOXYPHENE/ PARACETAMOL,DEXTROPROPOXYPHENE/PARACETAMOL,30MG/400MG,MG,B/20,,N,,1/1/2010,,140.0,,27.0,,O,O,O,,,Médicament maintenu au remboursement jusqu'au 31 Décembre 2009.,,03D010,02603D01099,,,G,,1/1/2010,4/22/2024
248,BI-ANTALGIQUE,DEXTROPROPOXYPHENE/PARACETAMOL,30MG/400MG,MG,B/18,,N,,1/1/2010,,126.0,,27.0,,O,O,O,,,Médicament maintenu au remboursement  jusqu'au 31 Décembre 2009.,,03D010,07103D01099,,,G,,1/1/2010,4/22/2024
245,DI-ANTALVIC,DEXTROPROPOXYPHENE/PARACETAMOL,30MG/400MG,MG,B/20,,N,,1/1/2010,,140.0,,27.0,,O,O,O,213,,Médicament maintenu au remboursement jusqu'au 31 Décembre 2009,,03D010,03303D01098,,,P,,1/1/2010,4/22/2024
283,DICLOMEC,DICLOFENAC,75MG/3ML,MG/3ML,"B/2 AMP,",,O,,,,81.6,,71.0,,O,O,O,,,,,04B004,17704B00498,10/2/2008,O,G,,10/2/2008,4/22/2024
278,VOLTAGESIC 75,DICLOFENAC,75MG,MG/3ML,B/3 AMP de 3 ML,,O,,,,122.4,,71.0,,O,O,O,,,,,04B004,11904B00499,10/2/2008,O,G,,10/2/2008,4/22/2024
277,INFLA-BAN,DICLOFENAC,75MG,MG,B/5 AMP,,O,,,,204.0,,71.0,,O,O,O,,,,,04B004,11804B00498,10/2/2008,O,G,,10/2/2008,4/22/2024
275,XENID,DICLOFENAC,75MG/3ML,MG/3ML,B/2 AMP de 3 ML,,O,,,,81.6,,71.0,,O,O,O,,,,,04B004,09404B00499,10/2/2008,,G,,10/2/2008,4/22/2024
270,DICLOGESIC,DICLOFENAC,75MG,MG,B/5 AMP,,O,,,,204.0,,71.0,,O,O,O,,,,,04B004,05504B00499,10/2/2008,O,G,,10/2/2008,4/22/2024
276,EPIFENAC,DICLOFENAC,75MG,ML/3 ML,B/3 AMP,,O,,,,122.4,,71.0,,O,O,O,,,,,04B004,10904B00499,10/2/2008,,G,,10/2/2008,4/22/2024
280,REFEN,DICLOFENAC,75MG,ML/3 ML,B/5 AMP de 3 ML,,O,,,,204.0,,71.0,,O,O,O,,,,,04B004,16104B00498,10/2/2008,,G,,10/2/2008,4/22/2024
281,NACLOFEN,DICLOFENAC,75MG,MG,B/5 AMP de 3 ML,,O,,,,204.0,,71.0,,O,O,O,,,,,04B004,17004B00498,10/2/2008,O,G,,10/2/2008,4/22/2024
286,ALMIRAL,DICLOFENAC,75MG,MG/ 3 ML,B/10 AMP de 3 ML,,O,,,,408.0,,71.0,,O,O,O,,,,,04B004,17804B00499,10/2/2008,,G,,10/2/2008,4/22/2024
